epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,891.567,0.57191,0.44521,0.91911,0.88124,0.84545,0.87979,0.77944,0.54438,0.5776,0.8896,0.0007756,0.0007756,0.0007756
70,911.783,0.55415,0.45086,0.90867,0.96522,0.8808,0.91341,0.80501,0.55355,0.49524,0.90498,0.0007723,0.0007723,0.0007723
71,925.067,0.54348,0.44086,0.90772,0.94826,0.88369,0.92599,0.82257,0.51377,0.46665,0.89105,0.000769,0.000769,0.000769
72,934.652,0.57034,0.45992,0.92571,0.95028,0.89058,0.91746,0.80243,0.5597,0.45104,0.91969,0.0007657,0.0007657,0.0007657
73,944.347,0.55036,0.44038,0.90546,0.9681,0.89124,0.93293,0.83251,0.50421,0.42558,0.87826,0.0007624,0.0007624,0.0007624
74,954.334,0.57881,0.45921,0.92196,0.9543,0.8948,0.93078,0.82754,0.51003,0.42507,0.88687,0.0007591,0.0007591,0.0007591
75,963.385,0.55406,0.431,0.91207,0.9778,0.88583,0.92554,0.83115,0.48126,0.4267,0.86821,0.0007558,0.0007558,0.0007558
76,973.062,0.54976,0.4256,0.91191,0.99429,0.88426,0.93298,0.82746,0.52784,0.41765,0.88276,0.0007525,0.0007525,0.0007525
77,982.968,0.53922,0.41587,0.91137,0.97312,0.8788,0.92572,0.82869,0.48034,0.43899,0.85882,0.0007492,0.0007492,0.0007492
78,992.854,0.5526,0.44153,0.91763,0.97995,0.85204,0.90437,0.80729,0.54928,0.4911,0.89157,0.0007459,0.0007459,0.0007459
79,1002.74,0.54705,0.42278,0.89992,0.98274,0.84356,0.9218,0.82409,0.54008,0.48566,0.88355,0.0007426,0.0007426,0.0007426
80,1012.07,0.53914,0.44693,0.91271,0.97689,0.86732,0.91787,0.80568,0.52162,0.47118,0.88055,0.0007393,0.0007393,0.0007393
81,1021.61,0.55326,0.43732,0.90003,0.97132,0.86635,0.91476,0.81713,0.53565,0.45706,0.89124,0.000736,0.000736,0.000736
82,1031.69,0.52486,0.41674,0.90614,0.95926,0.8781,0.92188,0.81997,0.5238,0.44825,0.8846,0.0007327,0.0007327,0.0007327
83,1041.14,0.54303,0.42064,0.91436,0.97989,0.87792,0.92172,0.82954,0.52267,0.45777,0.88709,0.0007294,0.0007294,0.0007294
84,1050.8,0.52733,0.41522,0.90721,0.9011,0.81643,0.85819,0.75525,0.57526,0.6501,0.93125,0.0007261,0.0007261,0.0007261
85,1060.02,0.52453,0.41121,0.91114,0.97747,0.83201,0.91148,0.80707,0.54508,0.45784,0.92128,0.0007228,0.0007228,0.0007228
86,1070.34,0.51927,0.41678,0.90424,0.9819,0.87511,0.93042,0.82243,0.51733,0.44275,0.88687,0.0007195,0.0007195,0.0007195
87,1080.02,0.54248,0.42981,0.9081,0.98929,0.87116,0.92898,0.83283,0.49181,0.43777,0.87412,0.0007162,0.0007162,0.0007162
88,1090.13,0.52097,0.40911,0.89433,0.98546,0.86557,0.92038,0.81772,0.53161,0.43552,0.88677,0.0007129,0.0007129,0.0007129
89,1100.93,0.50189,0.40074,0.88988,0.99123,0.86747,0.93011,0.84517,0.48644,0.40995,0.87214,0.0007096,0.0007096,0.0007096
90,1112.41,0.5168,0.3917,0.89866,0.98662,0.89229,0.92642,0.82609,0.51384,0.45215,0.89701,0.0007063,0.0007063,0.0007063
91,1123.97,0.52096,0.40602,0.89751,0.95194,0.8887,0.92356,0.83066,0.49253,0.47116,0.86651,0.000703,0.000703,0.000703
92,1135.97,0.522,0.40444,0.89708,0.9747,0.89395,0.92653,0.84245,0.50934,0.42795,0.89004,0.0006997,0.0006997,0.0006997
93,1147.03,0.51026,0.41933,0.89381,0.96803,0.899,0.92716,0.81822,0.54557,0.451,0.90216,0.0006964,0.0006964,0.0006964
94,1158.61,0.52545,0.4081,0.90819,0.93349,0.84451,0.89601,0.79412,0.55835,0.54591,0.91119,0.0006931,0.0006931,0.0006931
95,1170.4,0.52755,0.41568,0.91533,0.94989,0.84784,0.91316,0.80777,0.53627,0.49725,0.89152,0.0006898,0.0006898,0.0006898
96,1183.16,0.54222,0.4131,0.91118,0.96315,0.87947,0.92262,0.84023,0.48432,0.43247,0.86227,0.0006865,0.0006865,0.0006865
97,1196.05,0.52101,0.40598,0.90313,0.98305,0.85821,0.92789,0.82924,0.51398,0.44594,0.88246,0.0006832,0.0006832,0.0006832
98,1209.47,0.51649,0.40035,0.89505,0.96446,0.8942,0.93287,0.83123,0.53748,0.4227,0.89514,0.0006799,0.0006799,0.0006799
99,1220.76,0.52717,0.40475,0.89352,0.98201,0.87701,0.9369,0.84256,0.53196,0.41637,0.89809,0.0006766,0.0006766,0.0006766
100,1232.62,0.52182,0.39753,0.89998,0.97775,0.88873,0.92331,0.83434,0.49564,0.45073,0.87552,0.0006733,0.0006733,0.0006733
101,1245.25,0.50245,0.40493,0.89304,0.9927,0.8948,0.9348,0.84111,0.49123,0.41204,0.87593,0.00067,0.00067,0.00067
102,1257.5,0.5234,0.40035,0.90114,0.95255,0.87149,0.91564,0.80675,0.52506,0.46561,0.88465,0.0006667,0.0006667,0.0006667
103,1270.22,0.53071,0.41463,0.89795,0.97897,0.86681,0.91552,0.81738,0.50525,0.43874,0.88262,0.0006634,0.0006634,0.0006634
104,1281.74,0.5273,0.40299,0.9009,0.97727,0.87577,0.91775,0.80588,0.56587,0.46155,0.91766,0.0006601,0.0006601,0.0006601
105,1293.99,0.5048,0.39081,0.88644,0.98447,0.8938,0.92602,0.83669,0.46808,0.39926,0.86492,0.0006568,0.0006568,0.0006568
106,1306.47,0.51969,0.39732,0.90006,0.97704,0.88709,0.93439,0.84698,0.45833,0.40111,0.8517,0.0006535,0.0006535,0.0006535
107,1318.27,0.5027,0.39288,0.89229,0.97742,0.88448,0.92835,0.84368,0.46558,0.41199,0.86287,0.0006502,0.0006502,0.0006502
